pres_dem_seats,sen_dem_seats,cut_edges,pres_eg,sen_eg,latino_districts
32,37,448,0.10678783148866396,0.12830721339848286,2
33,37,449,0.13651538801122567,0.12830721339848286,2
33,37,452,0.13651538801122567,0.12830721339848286,2
33,37,454,0.13651538801122567,0.12830721339848286,2
33,37,452,0.13651538801122567,0.12830721339848286,2
32,38,456,0.10512644656765364,0.16820150416777288,2
32,38,456,0.09729842651278656,0.16820150416777288,2
32,38,452,0.09729842651278656,0.16820150416777288,2
32,38,452,0.09729842651278656,0.16820150416777288,2
32,38,454,0.09729842651278656,0.16820150416777288,2
32,38,454,0.09729842651278656,0.16820150416777288,2
32,38,464,0.09729842651278656,0.16820150416777288,2
32,38,465,0.09729842651278656,0.16820150416777288,2
32,38,463,0.09729842651278656,0.16820150416777288,2
32,38,465,0.09729842651278656,0.16820150416777288,2
32,38,459,0.09729842651278656,0.16820150416777288,2
32,38,457,0.09729842651278656,0.16820150416777288,2
32,38,457,0.09729842651278656,0.16820150416777288,2
32,38,456,0.09729842651278656,0.16820150416777288,2
32,38,456,0.09729842651278656,0.16820150416777288,2
32,38,456,0.09729842651278656,0.16820150416777288,2
32,38,455,0.09729842651278656,0.16820150416777288,2
32,38,455,0.09363273736322644,0.16820150416777288,2
32,38,453,0.09544390313120803,0.16820150416777288,2
32,38,456,0.09544390313120803,0.16820150416777288,2
33,37,451,0.128340507047583,0.12985150852503602,2
33,37,451,0.128340507047583,0.12985150852503602,2
32,37,455,0.10214856683379056,0.12985150852503602,2
32,37,462,0.10214856683379056,0.12985150852503602,2
32,37,463,0.10214856683379056,0.12985150852503602,2
32,37,462,0.10214856683379056,0.12985150852503602,2
32,37,462,0.10214856683379056,0.12985150852503602,2
32,37,463,0.10214856683379056,0.12985150852503602,2
32,37,464,0.10214856683379056,0.12985150852503602,2
32,37,465,0.10214856683379056,0.12985150852503602,2
31,37,464,0.06852867909059376,0.12985150852503602,2
31,37,464,0.06852867909059376,0.12985150852503602,2
31,37,465,0.06852867909059376,0.12985150852503602,2
32,37,459,0.09472061930438622,0.12985150852503602,2
32,37,458,0.09472061930438622,0.12985150852503602,2
32,37,459,0.09472061930438622,0.12985150852503602,2
32,37,460,0.09472061930438622,0.12985150852503602,2
32,37,462,0.09472061930438622,0.12985150852503602,2
32,37,462,0.09472061930438622,0.12985150852503602,2
32,37,459,0.09472061930438622,0.12985150852503602,2
32,37,460,0.09472061930438622,0.12985150852503602,2
32,37,455,0.09472061930438622,0.12985150852503602,2
32,37,451,0.09472061930438622,0.12985150852503602,2
33,37,451,0.128340507047583,0.12985150852503602,2
33,37,451,0.128340507047583,0.12985150852503602,2
33,37,454,0.128340507047583,0.12985150852503602,2
33,37,454,0.128340507047583,0.12985150852503602,2
33,37,454,0.128340507047583,0.12985150852503602,2
33,37,454,0.128340507047583,0.12985150852503602,2
33,37,460,0.128340507047583,0.12985150852503602,2
33,37,462,0.128340507047583,0.12985150852503602,2
33,37,464,0.13249298394979978,0.12985150852503602,2
33,37,465,0.13249298394979978,0.12985150852503602,2
33,37,465,0.13249298394979978,0.12985150852503602,2
33,37,463,0.13249298394979978,0.12985150852503602,2
33,37,464,0.13249298394979978,0.12985150852503602,2
33,37,464,0.13249298394979978,0.12985150852503602,2
33,37,464,0.13249298394979978,0.12985150852503602,2
33,37,465,0.13249298394979978,0.12985150852503602,2
34,37,464,0.16164309589127487,0.12985150852503602,2
34,37,465,0.16164309589127487,0.12985150852503602,2
34,37,461,0.16164309589127487,0.12985150852503602,2
34,37,461,0.16164309589127487,0.12985150852503602,2
34,37,460,0.16407506385394002,0.12985150852503602,2
34,37,460,0.16407506385394002,0.12985150852503602,2
34,37,461,0.16407506385394002,0.12985150852503602,2
34,37,464,0.16407506385394002,0.12985150852503602,2
34,37,464,0.16407506385394002,0.12985150852503602,2
34,37,462,0.16407506385394002,0.12985150852503602,2
34,37,462,0.16407506385394002,0.12985150852503602,2
34,37,462,0.16407506385394002,0.12985150852503602,2
34,37,463,0.16407506385394002,0.12985150852503602,2
34,37,463,0.16407506385394002,0.12985150852503602,2
34,37,464,0.16407506385394002,0.12985150852503602,2
34,37,466,0.16407506385394002,0.12985150852503602,2
34,37,466,0.16407506385394002,0.12985150852503602,2
34,37,471,0.16407506385394002,0.12985150852503602,2
34,37,472,0.16407506385394002,0.12985150852503602,2
34,37,470,0.16407506385394002,0.12985150852503602,2
34,37,470,0.16407506385394002,0.12985150852503602,2
34,37,469,0.16407506385394002,0.12985150852503602,2
34,37,470,0.16407506385394002,0.12985150852503602,2
34,37,471,0.16407506385394002,0.12985150852503602,2
34,37,473,0.16407506385394002,0.12985150852503602,2
34,37,471,0.16407506385394002,0.12985150852503602,2
